,Study,Mosquito,Insecticide,concn,Hut,location,wall_type,Deterrency,Induced_Exophily,Bloodfeeding_inhibition,Insecticide_induced_mortality,insecticide,Months_since_IRS,Ntotalfemalemosq_C,Ntotaldied_C,Nexittraps_C,Nbloodfed_C,Ntotalfemalemosq_IRS,Ntotaldied_IRS,Nexittraps_IRS,Nbloodfed_IRS,P_fed_and_alive,P_fed_and_dead,P_unfed_and_dead,P_unfed_and_alive,P_killed,P_bloodfed,P_other
127,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-25.3968254,55.69620253,37.69778481,35.12121862,bendiocarb,4.466666667,63,4,27,32,79,31,59,25,0.610835158,0.093203419,0.01466747,-0.029334941,0.10787089,0.610835158,0.281293952
128,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,9.836065574,31.74825175,13.73737374,33.84370016,bendiocarb,4.6,61,4,35,18,55,21,39,14,0.479880775,0,0.095678092,0.397615499,0.095678092,0.479880775,0.424441133
129,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,44.73684211,0.988319856,1.984126984,8.723135272,bendiocarb,4.633333333,114,1,61,48,63,6,34,26,0.589668616,0,0,0.67390699,0,0.589668616,0.410331384
130,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,-23.31288344,41.91878446,40.24613773,31.14615601,bendiocarb,4.666666667,163,4,89,76,201,66,148,56,0.548990238,0.016892007,0.031926258,0.098892043,0.048818266,0.548990238,0.402191497
131,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,13.125,-62.19751472,28.90393567,6.096175691,bendiocarb,4.7,160,8,116,68,139,15,77,42,0.471888101,0.012329525,0.055980216,0.473336331,0.068309741,0.471888101,0.459802158
132,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,43.31210191,20.49374901,-30.13446307,8.91532643,bendiocarb,4.733333333,157,4,86,61,89,10,57,45,0.433066339,0.004921208,0.031847134,0.712016031,0.036768342,0.433066339,0.530165319
133,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,0.884955752,18.72519841,15.92261905,23.17332896,bendiocarb,4.8,113,4,77,36,112,29,83,30,0.352797092,0.015012642,0.043220607,0.480404551,0.058233249,0.352797092,0.588969659
134,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,54.83870968,36.12637363,20.61994609,38.59543818,bendiocarb,4.833333333,124,5,72,53,56,23,41,19,0.458669355,0.007056452,0.014112903,0.875,0.021169355,0.458669355,0.52016129
135,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,32.35294118,-8.924485126,2.651113468,11.90162495,bendiocarb,4.866666667,102,3,64,41,69,10,41,27,0.44039191,0.021244919,0.030690537,0.615515772,0.051935456,0.44039191,0.507672634
136,UNPUBLISHED_Sarah_Moore,Anopheles_arabiensis,bendiocarb,,Ifakara,Tanzania,Ifakara_huts,14.28571429,23.91304348,19.62962963,36.80555556,bendiocarb,4.9,98,2,52,45,84,32,54,31,0.427321949,0.053727613,0.056365403,0.489795918,0.110093017,0.427321949,0.462585034
